Item,Price (INR),Price (USD)
STM32F401CCU6,₹495,$5.96
Switch (x2),₹8,$0.10
Crystal,₹20,$0.24
AP2112K,₹29,$0.35
HC-12 (x2),₹400,$4.82
Buck Module,₹77,$0.93
USB Breakout,₹13,$0.16
Resistors & Capacitors,₹40,$0.48
Inductor,₹3,$0.04
Propellers,₹224,$2.70
Dipole Antenna,₹119,$1.43
Battery,₹1721,$20.73
ESCs (x4),₹1380,$16.63
VTX,₹2307,$27.79
Caddx Ant Lite,₹1608,$19.37
Wire (1m) (x2),₹36,$0.43
1804-2480KV CCW Motor (x2),₹1280,$15.42
1804-2480KV CW Motor (x2),₹1280,$15.42
Battery Strap,₹49,$0.59
Charger,₹337,$4.06
VRX (OTG Receiver),₹2429,$29.27
SMA to UFL,₹79,$0.95
PCB,₹1397,$16
**Total**,₹16301,$186.50
